"会社名","カテゴリー","電話番号","住所","webサイト"
"奈良西デンタルクリニック","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0742-45-7977","奈良県奈良市富雄元町２丁目２－１","https://www.naranishi-dental.net/"
"吉野歯科クリニック","歯科"," 0744-24-1511","奈良県橿原市大久保町１－１","https://www.yoshino-sika.net"
"ヤスデンタルクリニック／本院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0742-48-0181","奈良県奈良市登美ヶ丘２丁目２－１７","http://yas-d.com"
"医療法人おかだ歯科医院","矯正歯科、歯科、小児歯科"," 0742-46-8855","奈良県奈良市登美ヶ丘１丁目２－９","https://www.okada-dental-office.com"
"吉岡歯科医院","歯科、小児歯科"," 0745-24-1418","奈良県大和高田市大字築山１１３－１","https://www.yoshioka-shikaiin.com"
"河野歯科医院","矯正歯科、歯科、小児歯科"," 0742-47-0646","奈良県奈良市学園大和町１丁目１３６７－３",
"サン歯科クリニック","歯科、歯科口腔外科、小児歯科"," 0745-73-6668","奈良県北葛城郡河合町星和台１丁目１０－２","http://www.sun-shika.com/"
"横井歯科医院朱雀診療所","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0742-70-2223","奈良県奈良市朱雀５丁目１６－２１","https://yokoidental-suzaku.com/"
"おきなか歯科","歯科"," 0745-84-9181","奈良県宇陀市菟田野松井１６４－１",
"杉平歯科医院桜井診療所","歯科"," 0744-43-6488","奈良県桜井市大字川合２５９－３",
"小野歯科医院","歯科、小児歯科"," 0745-73-5070","奈良県北葛城郡河合町広瀬台３丁目３－７","http://www.ono-dentals.org/"
"村尾歯科医院","矯正歯科、歯科、小児歯科"," 0742-71-5857","奈良県奈良市朱雀６丁目８－３",
"細山矯正歯科","矯正歯科、歯科","(代) 0745-52-3511","奈良県大和高田市幸町１０－１６","http://h-kyosei.hiho.jp"
"寺田歯科診療所","歯科、小児歯科"," 0742-26-2158","奈良県奈良市高天町３８－３",
"伯田歯科医院","歯科"," 0745-72-2019","奈良県北葛城郡王寺町久度１丁目９－７","https://itp.ne.jp/info/291238016300000899/"
"にしだ小児歯科医院","矯正歯科、歯科、小児歯科"," 0742-34-0118","奈良県奈良市三条桧町１７－１７","http://www.nishida-shounishika.com"
"吉田歯科医院","歯科"," 0743-52-2009","奈良県大和郡山市堺町４９",
"寺田歯科医院","歯科、小児歯科"," 0742-23-2176","奈良県奈良市毘沙門町２５",
"南野歯科医院","歯科"," 0744-43-7418","奈良県桜井市大字川合２５６－６",
"岡村歯科医院","歯科、矯正歯科、小児歯科、歯科口腔外科"," 0742-44-8211","奈良県奈良市富雄元町１丁目１２－７","https://www.okamura-dental-clinic.com/"
"つむら歯科医院","歯科、小児歯科"," 0745-46-1115","奈良県生駒郡平群町大字三里３８５－１","https://tsumura-dental.jp/"
"医療法人克輝会しみず矯正歯科クリニック","矯正歯科、歯科"," 0742-70-3111","奈良県奈良市右京１丁目４－２","http://www.shimizu-hanarabi.jp/"
"勝田歯科医院","歯科"," 0745-56-6487","奈良県北葛城郡河合町大字穴闇１９９－１",
"伊藤小児歯科","矯正歯科、歯科、小児歯科"," 0743-52-9292","奈良県大和郡山市南郡山町５２７－１０",
"冨森歯科油阪診療所","歯科、歯科口腔外科、小児歯科"," 0742-22-8692","奈良県奈良市油阪町３－２０",
"松川矯正歯科医院","矯正歯科"," 0744-25-4541","奈良県橿原市内膳町１丁目１－５","http://www.matsukawasika-ortho.info/"
"つじうち歯科","歯科、歯科口腔外科、小児歯科"," 0742-41-0846","奈良県奈良市東登美ヶ丘１丁目４－８","http://www.tsujiuchi.jp/"
"大谷歯科医院","歯科"," 0743-75-4949","奈良県生駒市東生駒１丁目７７－７",
"うえむら歯科医院","矯正歯科、歯科"," 0747-52-2468","奈良県吉野郡大淀町大字桧垣本１６７７－１",
"片岡歯科医院","歯科"," 0744-33-3777","奈良県磯城郡田原本町大字藥王寺１４５－４",
"おうにし歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0743-55-0767","奈良県大和郡山市南郡山町４６４－１",
"すずき歯科","歯科、歯科口腔外科、小児歯科"," 0742-41-3534","奈良県奈良市菅原町１８６",
"かたかわ歯科クリニック","歯科、小児歯科"," 0744-29-1148","奈良県橿原市内膳町１丁目１－４８",
"藤本歯科医院","歯科、小児歯科"," 0742-44-9787","奈良県奈良市学園中４丁目５３９－１",
"宮本歯科医院","歯科"," 0742-46-5588","奈良県奈良市登美ヶ丘３丁目３－１３",
"さかぐち歯科クリニック","歯科、小児歯科"," 0744-46-5255","奈良県桜井市大字上之宮４０４－１",
"榛見が丘歯科クリニック","歯科"," 0745-82-8275","奈良県宇陀市榛原榛見が丘１丁目５－１６",
"とよだ歯科医院","歯科"," 0744-44-1700","奈良県桜井市大字上之庄２７８－１",
"ウエダデンタルクリニック","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0745-72-1182","奈良県北葛城郡王寺町久度２丁目３－１－３０１",
"ことぶき歯科","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0745-43-8217","奈良県生駒郡斑鳩町龍田西８丁目９－３０",
"竹内歯科医院","矯正歯科、歯科、歯科口腔外科"," 0744-43-8241","奈良県桜井市大字阿部２９７－１",
"みぞかみ歯科","歯科、小児歯科"," 0744-27-6664","奈良県橿原市西池尻町８７－１６",
"西田歯科医院","歯科"," 0742-34-8558","奈良県奈良市大宮町３丁目４－３４",
"福岡歯科学園前診療所","歯科、小児歯科"," 0742-44-8666","奈良県奈良市学園大和町５丁目１",
"つだ歯科医院","歯科"," 0744-44-1418","奈良県桜井市大字粟殿１０１４－１",
"生野歯科医院","歯科、小児歯科"," 0745-69-6471","奈良県葛城市北花内６８４－９",
"でい歯科医院","矯正歯科、歯科、小児歯科"," 0745-79-8249","奈良県香芝市真美ヶ丘５丁目３－２５","https://www.dei-shika-kashiba.com/"
"冨森歯科クリニック","歯科"," 0742-35-0515","奈良県奈良市三条大路５丁目５－１",
"堀内歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0743-62-1748","奈良県天理市別所町２２６－３",
"貞光歯科医院","歯科、小児歯科"," 0742-41-7000","奈良県奈良市学園朝日町２－３",
"ＯＭＰ前田歯科","歯科、歯科口腔外科"," 0742-62-6471","奈良県奈良市南京終町１丁目１２８－１",
"医療法人ちか山歯科医院","矯正歯科、歯科"," 0743-66-3781","奈良県天理市柳本町７０２－１",
"いとう歯科","歯科"," 0742-35-6259","奈良県奈良市四条大路１丁目２５－２０",
"ならやま歯科クリニック","歯科、小児歯科"," 0742-70-0011","奈良県奈良市右京３丁目２－１",
"弓場歯科医院","歯科"," 0745-44-1708","奈良県磯城郡川西町大字結崎５９４－９",
"西川歯科医院","歯科"," 0745-69-3143","奈良県葛城市疋田３１",
"こうち歯科医院","歯科、小児歯科"," 0743-57-4333","奈良県生駒郡安堵町大字かしの木台１丁目４－３",
"長田歯科医院","歯科、小児歯科"," 0745-72-4358","奈良県北葛城郡王寺町畠田４丁目１４－４４",
"米本歯科医院","歯科"," 0743-52-2212","奈良県大和郡山市朝日町２－２３",
"平井歯科診療所","歯科、小児歯科"," 0744-28-1222","奈良県橿原市石川町８１",
"吉川歯科医院","歯科"," 0744-22-4418","奈良県橿原市常盤町２８５",
"うちだ矯正歯科クリニック","矯正歯科、歯科"," 0743-72-1187","奈良県生駒市元町１丁目３－１５",
"中倉歯科医院","歯科、小児歯科","(F兼) 0742-22-5065","奈良県奈良市東紀寺町２丁目７－１４","http://www.nakakura-shika.com/"
"医療法人翔デンタルクリニック／インプラント専用窓口","矯正歯科、歯科"," 0120-018448","奈良県生駒市谷田町８５０－４",
"かわなみ歯科","歯科、小児歯科"," 0120-778418","奈良県生駒市俵口町９５－５７",
"野口歯科医院","矯正歯科、歯科、小児歯科"," 0120-440877","奈良県御所市栄町９１－１１",
"よしむらファミリー歯科","矯正歯科、歯科、小児歯科"," 0120-704780","奈良県香芝市真美ヶ丘１丁目５－１１",
"ブランカ歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0120-206315","奈良県奈良市芝辻町４丁目１－１",
"ホワイトエッセンス橿原店","歯科"," 0120-461856","奈良県橿原市大久保町１－１",
"浜中矯正歯科クリニック","矯正歯科"," 0120-418772","奈良県奈良市学園北１丁目１－４","http://www.yoihanarabi.com"
"岡下矯正歯科","矯正歯科"," 0120-664187","奈良県橿原市石川町２８２－３",
"ふかみ歯科・矯正科クリニック","矯正歯科、歯科"," 0120-974118","奈良県大和高田市高砂町２－１８",
"ヤスデンタルクリニック／分院","矯正歯科、歯科、小児歯科"," 0742-48-0818","奈良県奈良市中登美ヶ丘４丁目３","http://yas-d.com"
