"会社名","カテゴリー","電話番号","住所","webサイト"
"足立歯科クリニック","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0120-461844","大阪府大阪市阿倍野区昭和町２丁目１８－１","http://www.adachi-d.com"
"香川矯正歯科医院","矯正歯科","(代) 06-6383-8211","大阪府吹田市内本町１丁目１０－１１","http://www.ortho-kagawa.co.jp"
"ほんだ矯正歯科クリニック","矯正歯科、歯科","(代) 072-437-8801","大阪府貝塚市近木町８－２６","http://www.honda-orthod.com/"
"小曽根病院","歯科、心療内科、精神科","(代) 06-6332-0135","大阪府豊中市豊南町東２丁目６－４","https://www.ozonehospital-toyonaka.com/"
"医療法人いなほ会くまざき歯科山中田診療所","歯科、歯科口腔外科、小児歯科"," 0721-24-8211","大阪府富田林市山中田町１丁目１５－２０","https://www.kumazaki-yamachuda.com/"
"たに歯科医院","矯正歯科、歯科、小児歯科"," 0721-56-4181","大阪府河内長野市西之山町６－５","https://www.tani-shikaiin.net/"
"耳原歯科診療所","歯科、歯科口腔外科、小児歯科"," 072-245-2912","大阪府堺市堺区大仙西町６丁１８４－２","http://www.mimihara.or.jp/shika/"
"釜谷歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 06-6911-1818","大阪府大阪市鶴見区鶴見５丁目７－１２－２０１","https://www.kamaya-dentalclinic.com/"
"今井歯科医院","歯科、小児歯科"," 072-954-3523","大阪府藤井寺市藤ケ丘１丁目１３－９","https://www.imai-dc.info/"
"河村歯科医院","歯科、歯科口腔外科、小児歯科"," 06-6628-0805","大阪府大阪市阿倍野区昭和町４丁目２－１","http://dent-k.com"
"やまさき歯科","歯科、小児歯科"," 06-6856-3900","大阪府豊中市少路２丁目３－５０","https://asp2.viaplatz.com/vpz/main/embp/?coid=3732&st=0&fmt=hls&br=750000&is_guest=YES&pghash=c454f2c33dac&is_embed=yes"
"吉田歯科クリニック","休日診療機関、歯科、小児歯科、夜間診療機関"," 06-6958-3338","大阪府大阪市旭区新森２丁目１－２３","http://www.yoshida-dc.com"
"多田歯科医院","歯科"," 072-675-5831","大阪府高槻市南松原町５－２１","https://www.tada-shika-takatsuki.com/"
"堂島デンタルクリニック","矯正歯科、歯科、歯科口腔外科"," 06-6136-8214","大阪府大阪市北区堂島２丁目１－４３","http://www.dojima-dc.jp/"
"医療法人杉本デンタルクリニック","歯科、歯科口腔外科、小児歯科"," 072-333-4184","大阪府松原市上田６丁目１－３","https://www.sugimoto-dc-osaka.com/"
"医療法人いなほ会くまざき歯科昭和町診療所","歯科、小児歯科"," 0721-23-8841","大阪府富田林市若松町西１丁目１８９３－１","https://www.kumazaki-showacho.com/"
"さこがわ歯科クリニック","歯科、歯科口腔外科、小児歯科"," 0721-62-1181","大阪府河内長野市北青葉台２８－２６","https://www.sakogawadental.com"
