"会社名","カテゴリー","電話番号","住所","webサイト"
"未来環境株式会社","一般廃棄物収集運搬業、一般廃棄物処理業、遺品整理業、家電リサイクル処理、古紙回収、ごみ収集運搬、ごみ焼却、産業廃棄物収集運搬業、産業廃棄物処理業、残土処分、食品リサイクル処理、スクラップ類回収、清掃業、ごみ処理（一般廃棄物）、ごみ処理（産業廃棄物）、廃プラスチック処理、廃油処理、非鉄金属スクラップ回収"," 0120-301907","大阪府堺市美原区北余部３５１－１","http://www.m-k.jp/"
"株式会社みやび","インターネット通販、菓子卸、菓子パン製造、食パン製造、調理パン製造、パン卸、パン製造、パン製造・卸、パン製造・直販、パン店、ベーカリー、洋菓子卸、洋菓子店、和菓子卸"," 072-966-0011","大阪府東大阪市菱江１丁目１－２５","https://www.miyabi-web.biz/"
"永井印刷株式会社","印刷サービス、シール印刷","(代) 06-6784-6775","大阪府東大阪市御厨東１丁目４－２３","http://www.nagaiprint.com"
"有限会社神谷エンジニアリング","機械工業"," 06-6784-0112","大阪府東大阪市川俣１丁目９－４５","https://www.kamitani.net/home/"
"株式会社ハンナリース本社","リネンサプライサービス、レンタルマット"," 06-6787-0515","大阪府東大阪市高井田本通７丁目６－２４","http://www.hanna-lease.co.jp/"
"宮家食品","海苔"," 072-984-3079","大阪府東大阪市布市町１丁目８－３４",
"なにわ食品","豆腐"," 072-986-2855","大阪府東大阪市喜里川町２－１８",
"加藤食品","こんにゃく"," 06-6783-1628","大阪府東大阪市森河内東２丁目１６－２６",
"桜本食品","食肉店"," 06-6721-5789","大阪府東大阪市足代３丁目２－７",
"尾原食品","食肉店","(F兼) 06-6728-1709","大阪府東大阪市長瀬町２丁目８",
"マルマ味噌食品","味噌販売"," 06-6725-3861","大阪府東大阪市若江南町４丁目４－２１",
"株式会社かねます食品","冷凍食品","(代) 072-963-3011","大阪府東大阪市島之内２丁目１３－１",
"ケービー食品株式会社","業務用食料品、冷凍食品","(代) 06-6746-8930","大阪府東大阪市荒本北３丁目３－１５",
"きくち食品株式会社","食料品卸","(代) 072-988-1780","大阪府東大阪市中石切町６丁目３－６６",
"株式会社中谷食品","業務用食料品、業務用食料品卸","(代) 06-6728-3070","大阪府東大阪市荒川３丁目２４－１６",
"メイワ食品株式会社","食肉卸、食肉加工","(代) 06-6745-6702","大阪府東大阪市楠根２丁目６－１８",
"有限会社三弘食品","食肉卸、食肉加工"," 06-6747-3123","大阪府東大阪市新庄東６－１３",
"中嶋食品工業株式会社","昆布"," 06-6729-0800","大阪府東大阪市寿町３丁目１９－２０",
"有限会社久保食品","喫茶材料、食料品卸"," 06-6723-9181","大阪府東大阪市永和１丁目１５－４",
"辻ノ内食品株式会社","豆腐"," 072-987-5050","大阪府東大阪市中石切町３丁目１４－３５",
"有限会社トモエ食品","食料品卸"," 072-986-2177","大阪府東大阪市中石切町５丁目９－５",
"熊井食品株式会社","業務用食料品卸、食料品卸、冷凍食品卸"," 072-960-3453","大阪府東大阪市川田４丁目１－３８",
"有限会社山重食品","納豆"," 072-981-3822","大阪府東大阪市上四条町９－１８",
"有限会社都食品","食料品卸"," 06-6788-8883","大阪府東大阪市御厨２丁目４－２０",
"鳥治食品株式会社","鳥肉"," 072-988-1421","大阪府東大阪市日下町４丁目３－２",
"みと食品金岡店","食肉店"," 06-6727-0510","大阪府東大阪市金岡２丁目１２－１８",
"株式会社中谷食品","食料品卸"," 06-6748-8888","大阪府東大阪市長田西５丁目６－３５",
"食品館アプロ友井店","スーパーマーケット"," 06-4308-4158","大阪府東大阪市友井５丁目１－１１",
"東大阪市／保健所／食品衛生課","保健所"," 072-960-3803","大阪府東大阪市岩田町４丁目３－２２－３００",
"ミツヤ食品工業株式会社東大阪工場","食品工業","(代) 06-6744-3831","大阪府東大阪市新庄東４－１３",
"きくち食品株式会社石切店","飲食店、食料品店、漬物店"," 072-985-2265","大阪府東大阪市東石切町２丁目８－１５",
"旭食品株式会社近畿低温支店","食料品卸"," 072-874-5061","大阪府東大阪市加納６丁目２－３４",
"株式会社カクマン食品部","つくだ煮","(F兼) 072-987-2477","大阪府東大阪市東石切町１丁目１－１３",
"沖縄ハム総合食品株式会社大阪営業所","食肉加工","(代) 06-6783-0013","大阪府東大阪市高井田西１丁目２－３６",
"宮家食品","海苔","(F専) 072-984-3495","大阪府東大阪市布市町１丁目８－３４",
"有限会社トモエ食品","食料品卸","(F専) 072-987-1830","大阪府東大阪市中石切町５丁目９－５",
"有限会社三弘食品","食肉卸、食肉加工","(F専) 06-6747-3129","大阪府東大阪市新庄東６－１３",
"有限会社トモエ食品","食料品卸","(F専) 072-986-2180","大阪府東大阪市中石切町５丁目９－５",
"熊井食品株式会社","業務用食料品卸、食料品卸、冷凍食品卸","(F専) 072-960-3454","大阪府東大阪市川田４丁目１－３８",
"株式会社中谷食品","業務用食料品、業務用食料品卸","(F専) 06-6720-4821","大阪府東大阪市荒川３丁目２４－１６",
